501,4
oid,orgemp_id,indcode1,indcode2,outcome
11954,5,257,293,0
11953,5,257,293,1
11952,4,212,204,0
11951,10,257,293,1
11948,12,100,92,1
11947,5,49,293,1
11943,8,100,89,0
11942,2,257,293,0
11940,6,100,89,1
11938,5,49,300,1
11937,9,100,92,1
11935,5,100,89,1
11934,4,257,293,1
11933,5,100,87,0
11932,4,257,293,0
11931,4,100,92,0
11928,8,100,89,1
11926,13,100,92,0
11924,11,100,89,0
11921,12,100,89,0
11920,8,269,313,0
11918,13,100,89,1
11915,5,100,89,1
11914,14,100,92,1
11912,14,65,59,1
11911,13,49,300,0
11909,4,257,293,1
11906,11,100,89,0
11905,13,100,89,1
11904,9,100,89,1
11903,2,100,93,0
11897,5,49,300,1
11894,4,269,313,1
11893,13,100,89,0
11892,4,257,293,1
11889,13,49,40,0
11888,4,257,293,0
11887,5,152,139,1
11886,4,31,18,0
11884,5,100,92,1
11879,13,100,89,1
11877,9,257,293,1
11876,11,100,89,0
11875,4,257,293,0
11874,10,65,59,0
11873,8,152,150,0
11870,11,100,89,0
11868,5,269,267,0
11867,13,49,40,1
11866,5,49,300,1
11860,11,100,89,1
11859,11,100,89,0
11858,11,229,227,0
11857,13,100,89,1
11856,4,49,47,1
11855,4,100,89,1
11853,8,100,89,1
11852,4,257,293,1
11851,12,100,92,1
11850,6,100,89,0
11848,5,49,300,0
11845,11,100,89,1
11843,8,100,89,1
11842,5,49,300,1
11840,10,100,89,0
11839,5,257,293,1
11838,5,269,313,0
11837,7,130,307,0
11836,4,257,293,1
11835,13,100,89,0
11834,8,100,89,0
11833,8,100,89,1
11832,12,100,92,0
11830,10,257,293,1
11829,4,84,67,0
11828,6,100,89,1
11827,8,100,92,0
11826,12,100,92,1
11822,11,100,89,1
11821,4,100,92,0
11820,4,100,93,1
11819,2,100,89,0
11816,7,100,89,1
11815,14,65,59,1
11812,13,100,89,0
11811,5,49,293,0
11810,14,65,59,1
11809,4,257,293,1
11804,6,55,301,0
11796,8,257,293,1
11793,11,100,89,0
11791,5,257,293,0
11790,9,280,277,0
11789,12,100,89,0
11788,12,223,221,0
11787,4,100,89,0
11786,4,257,293,1
11785,10,257,293,1
11783,5,49,300,1
11781,13,100,90,1
11779,4,257,293,0
11778,10,257,293,0
11775,8,100,89,1
11773,5,100,89,1
11770,10,257,293,1
11769,5,100,93,0
11767,13,49,37,1
11766,11,100,89,1
11765,11,100,89,1
11764,9,100,92,0
11763,4,100,89,1
11761,11,100,89,0
11759,10,257,293,1
11758,5,257,293,1
11755,4,100,89,1
11753,8,31,22,0
11752,4,100,89,0
11750,5,229,228,0
11747,5,100,89,0
11746,14,65,59,1
11745,4,257,293,1
11743,6,84,303,1
11742,4,257,293,0
11741,4,257,293,0
11738,5,130,117,0
11735,11,100,89,0
11734,6,100,89,0
11733,10,257,293,0
11732,8,100,89,0
11731,0,100,89,0
11730,13,49,37,1
11729,8,49,40,1
11727,5,100,89,1
11725,13,100,92,1
11723,8,152,150,0
11722,5,100,87,1
11720,5,100,89,0
11718,8,269,313,1
11717,8,100,89,1
11714,13,100,89,0
11711,10,257,293,0
11710,13,31,17,0
11709,4,257,293,0
11707,13,49,37,1
11706,8,152,150,0
11703,4,257,293,0
11701,5,100,89,0
11697,8,100,89,1
11696,9,257,293,1
11695,8,269,313,1
11694,4,31,311,0
11693,8,152,308,1
11692,4,100,89,1
11688,8,100,89,1
11687,4,257,293,1
11686,8,100,89,1
11683,8,65,59,0
11682,4,257,293,1
11679,5,257,293,1
11678,5,223,219,0
11677,4,100,92,0
11675,8,100,89,1
11670,11,100,87,0
11669,4,100,89,1
11668,5,257,293,1
11667,9,152,139,0
11666,5,257,293,1
11665,9,130,307,1
11664,5,100,89,0
11663,5,100,89,0
11660,11,100,89,1
11659,9,257,293,1
11657,5,212,210,0
11655,4,100,89,0
11654,12,130,113,0
11653,4,257,293,0
11652,4,257,293,0
11651,8,100,93,1
11647,5,49,37,0
11646,9,100,92,0
11643,4,257,293,1
11642,14,65,59,1
11641,5,100,89,1
11639,14,100,92,1
11637,14,100,89,0
11636,4,100,89,0
11635,5,100,89,0
11634,4,100,89,1
11633,4,100,89,0
11629,4,100,89,0
11628,5,257,293,0
11626,8,100,89,0
11625,2,100,89,1
11621,4,49,37,0
11620,14,49,47,0
11619,13,100,92,1
11618,4,100,89,1
11617,12,100,89,0
11615,11,100,89,1
11613,2,31,311,0
11611,4,100,89,1
11610,4,269,313,0
11609,4,257,293,1
11607,4,257,293,0
11606,4,130,113,0
11604,5,152,139,0
11603,10,257,293,0
11601,0,100,89,1
11598,2,65,59,0
11597,5,223,281,0
11595,13,100,90,0
11594,5,100,93,0
